"cityid";"provinceid";"citycode";"cityname";"recordstatus";"updatedate"
"1";"1";"1101";"Sinabung";"1";"2023-04-08 15:01:17"
"2";"1";"1102";"Singkil";"1";"2023-04-08 15:01:17"
"3";"1";"1103";"Tapakutan";"1";"2023-04-08 15:01:17"
"4";"1";"1104";"Kutacane";"1";"2023-04-08 15:01:17"
"5";"1";"1105";"Langsa";"1";"2023-04-08 15:01:17"
"6";"1";"1106";"Takengon";"1";"2023-04-08 15:01:17"
"7";"1";"1107";"Meulaboh";"1";"2023-04-08 15:01:17"
"8";"1";"1108";"Jantoi";"1";"2023-04-08 15:01:17"
"9";"1";"1109";"Sigli";"1";"2023-04-08 15:01:17"
"10";"1";"1110";"Bireuen";"1";"2023-04-08 15:01:17"
"11";"1";"1111";"Lhokseumawe";"1";"2023-04-08 15:01:17"
"12";"1";"1112";"Blangpidie";"1";"2023-04-08 15:01:17"
"13";"1";"1113";"Blangkejeran";"1";"2023-04-08 15:01:17"
"14";"1";"1114";"Karang Baru";"1";"2023-04-08 15:01:17"
"15";"1";"1115";"Suka Makmue";"1";"2023-04-08 15:01:17"
"16";"1";"1116";"Calang";"1";"2023-04-08 15:01:17"
"17";"1";"1117";"Simpang Tiga Redelong";"1";"2023-04-08 15:01:17"
"18";"1";"1118";"Meureudu";"1";"2023-04-08 15:01:17"
"19";"1";"1171";"Banda Aceh";"1";"2023-04-08 15:01:17"
"20";"1";"1172";"Kota Sabang";"1";"2023-04-08 15:01:17"
"21";"1";"1173";"Kota Langsa";"1";"2023-04-08 15:01:17"
"22";"1";"1174";"Kota Lhokseumawe";"1";"2023-04-08 15:01:17"
"23";"1";"1175";"Subulussalam";"1";"2023-04-08 15:01:17"
"24";"2";"1201";"Gunungsitoli";"1";"2023-04-08 15:01:17"
"25";"2";"1202";"Penyabungan";"1";"2023-04-08 15:01:17"
"26";"2";"1203";"Padang Sidempuan";"1";"2023-04-08 15:01:17"
"27";"2";"1204";"Sibolga";"1";"2023-04-08 15:01:17"
"28";"2";"1205";"Tarutung";"1";"2023-04-08 15:01:17"
"29";"2";"1206";"Balige";"1";"2023-04-08 15:01:17"
"30";"2";"1207";"Rantauprapat";"1";"2023-04-08 15:01:17"
"31";"2";"1208";"Kisaran";"1";"2023-04-08 15:01:17"
"32";"2";"1209";"Pematangsiantar";"1";"2023-04-08 15:01:17"
"33";"2";"1210";"Sidikalang";"1";"2023-04-08 15:01:17"
"34";"2";"1211";"Kabanjahe";"1";"2023-04-08 15:01:17"
"35";"2";"1212";"Lubukpakam";"1";"2023-04-08 15:01:17"
"36";"2";"1213";"Stabat";"1";"2023-04-08 15:01:17"
