"provinceid";"countryid";"provincecode";"provincename";"recordstatus";"updatedate"
"1";"92";"11";"ACEH";"1";"2023-04-11 05:57:47"
"2";"92";"12";"SUMATERA UTARA";"1";"2023-04-11 05:57:47"
"3";"92";"13";"SUMATERA BARAT";"1";"2023-04-11 05:57:47"
"4";"92";"0";"RIAU";"1";"2023-04-11 05:57:47"
"5";"92";"15";"JAMBI";"1";"2023-04-11 05:57:47"
"6";"92";"16";"SUMATERA SELATAN";"1";"2023-04-11 05:57:47"
"7";"92";"17";"BENGKULU";"1";"2023-04-11 05:57:47"
"8";"92";"18";"LAMPUNG";"1";"2023-04-11 05:57:47"
"9";"92";"19";"KEPULAUAN BANGKA BELITUNG";"1";"2023-04-11 05:57:47"
"10";"92";"21";"KEPULAUAN RIAU";"1";"2023-04-11 05:57:47"
"11";"92";"31";"DKI JAKARTA";"1";"2023-04-11 05:57:47"
"12";"92";"32";"JAWA BARAT";"1";"2023-04-11 05:57:47"
"13";"92";"33";"JAWA TENGAH";"1";"2023-04-11 05:57:47"
"14";"92";"34";"DI YOGYAKARTA";"1";"2023-04-11 05:57:47"
"15";"92";"35";"JAWA TIMUR";"1";"2023-04-11 05:57:47"
"16";"92";"36";"BANTEN";"1";"2023-04-11 05:57:47"
"17";"92";"51";"BALI";"1";"2023-04-11 05:57:47"
"18";"92";"52";"NUSA TENGGARA BARAT";"1";"2023-04-11 05:57:47"
"19";"92";"53";"NUSA TENGGARA TIMUR";"1";"2023-04-11 05:57:47"
"20";"92";"61";"KALIMANTAN BARAT";"1";"2023-04-11 05:57:47"
"21";"92";"62";"KALIMANTAN TENGAH";"1";"2023-04-11 05:57:47"
"22";"92";"63";"KALIMANTAN SELATAN";"1";"2023-04-11 05:57:47"
"23";"92";"64";"KALIMANTAN TIMUR";"1";"2023-04-11 05:57:47"
"24";"92";"65";"KALIMANTAN UTARA";"1";"2023-04-11 05:57:47"
"25";"92";"71";"SULAWESI UTARA";"1";"2023-04-11 05:57:47"
"26";"92";"72";"SULAWESI TENGAH";"1";"2023-04-11 05:57:47"
"27";"92";"73";"SULAWESI SELATAN";"1";"2023-04-11 05:57:47"
"28";"92";"74";"SULAWESI TENGGARA";"1";"2023-04-11 05:57:47"
"29";"92";"75";"GORONTALO";"1";"2023-04-11 05:57:47"
"30";"92";"76";"SULAWESI BARAT";"1";"2023-04-11 05:57:47"
"31";"92";"81";"MALUKU";"1";"2023-04-11 05:57:47"
"32";"92";"82";"MALUKU UTARA";"1";"2023-04-11 05:57:47"
"33";"92";"91";"PAPUA BARAT";"1";"2023-04-11 05:57:47"
"34";"92";"92";"PAPUA";"1";"2023-08-05 23:52:13"
